lat,lon,alt
426816983,-29659183,524
426815216,-29658036,479
426815216,-29658036,479
426816483,-29658766,525
426816483,-29658766,525
426816116,-29657950,526
423711666,-36667600,987
423707368,-36663561,821
423708136,-36667548,824
423710250,-36670133,945
423705516,-36667166,953
423708600,-36670566,953
423707333,-36666400,953
423707166,-36663733,953
423712103,-36663605,809
423708350,-36665466,953
423708783,-36668085,898
423706200,-36663416,953
423717400,-36659053,964
423710133,-36659183,953
423710450,-36667131,891
423706450,-36664700,953
423707121,-36666345,908
423709983,-36668583,953
423707998,-36675928,850
423706516,-36663033,953
423707998,-36675928,850
425920933,-32941050,749
425957233,-32910383,755
426012566,-32862800,741
426044816,-32811900,741
426141616,-32634900,746
426176966,-32575183,746
426230400,-32450200,745
426243100,-31354066,694
426241550,-31299466,724
426235583,-31280433,719
426241300,-31226916,719
426320616,-31120100,686
426329183,-31116433,696
426472766,-30184966,588
426483283,-30155966,570
426492866,-30104183,575
426815488,-29658251,474
426847400,-29579250,570
426848736,-29580273,447
426856616,-29568066,566
426865533,-29550483,543
426865490,-29549398,446
426867933,-29543776,452
426890666,-29420233,516
426876433,-29426366,516
426867916,-29428500,516
426867346,-29430313,469
426891258,-29472933,443
426864736,-29431626,455
426865171,-29427520,491
426864816,-29428183,536
426864471,-29429041,478
426866376,-29429581,444
426866400,-29427633,573
426866266,-29425350,573
426815488,-29658251,474
426866200,-29428533,573
426863848,-29427066,481
426814866,-29657766,517
426815316,-29659333,518
426815620,-29657921,476
426816300,-29658800,518
426814933,-29659666,518
426815733,-29658166,518
426814666,-29658583,518
426815550,-29657800,518
426814866,-29658283,512
426816283,-29658083,512
426816766,-29657650,512
426816216,-29657466,533
426817816,-29658966,534
426815316,-29658466,534
426815166,-29656633,534
426815583,-29658400,531
426815683,-29656833,531
426816016,-29658700,531
426815316,-29657366,531
426816300,-29657750,531
426815300,-29659166,530
426816100,-29658100,530
426818216,-29657600,530
20000000,20000000,2
426815358,-29657201,479
0,0,0
0,0,0
426815750,-29656983,530
426814983,-29656716,530
426815358,-29657201,479
426815358,-29657201,479
426816116,-29658566,529
426815350,-29658200,529
426816416,-29658633,529
426817283,-29659550,529
426815250,-29658483,529
426816433,-29658100,529
247136000,466753000,0
